"Adobe After Effects 6.5 Keyframe Data
"
"   Unit Per Second   25"
"   Source Width   740"
"   Source Height   410"
"   Source Pixel Aspect Ratio   1"
"   Comp Pixel Aspect Ratio   1
"
"Position"
"   Frame   X pixels   Y pixels   Z pixels"
"   0   0.0   150.0   0.0"
"   1   0.233601   150.0   0.0"
"   2   0.9088   150.0   0.0"
"   3   1.9872   150.0   0.0"
"   4   3.4304   150.0   0.0"
"   5   5.2   150.0   0.0"
"   6   7.2576   150.0   0.0"
"   7   9.5648   150.0   0.0"
"   8   12.0832   150.0   0.0"
"   9   14.7744   150.0   0.0"
"   10   17.6   150.0   0.0"
"   11   20.5216   150.0   0.0"
"   12   23.5008   150.0   0.0"
"   13   26.4992   150.0   0.0"
"   14   29.4784   150.0   0.0"
"   15   32.4   150.0   0.0"
"   16   35.2256   150.0   0.0"
"   17   37.9168   150.0   0.0"
"   18   40.4352   150.0   0.0"
"   19   42.7424   150.0   0.0"
"   20   44.8   150.0   0.0"
"   21   46.5696   150.0   0.0"
"   22   48.0128   150.0   0.0"
"   23   49.0912   150.0   0.0"
"   24   49.7664   150.0   0.0"
"   25   50.0   150.0   0.0"
"   26   50.0   150.0   0.233601"
"   27   50.0   150.0   0.9088"
"   28   50.0   150.0   1.9872"
"   29   50.0   150.0   3.4304"
"   30   50.0   150.0   5.2"
"   31   50.0   150.0   7.2576"
"   32   50.0   150.0   9.5648"
"   33   50.0   150.0   12.0832"
"   34   50.0   150.0   14.7744"
"   35   50.0   150.0   17.6"
"   36   50.0   150.0   20.5216"
"   37   50.0   150.0   23.5008"
"   38   50.0   150.0   26.4992"
"   39   50.0   150.0   29.4784"
"   40   50.0   150.0   32.4"
"   41   50.0   150.0   35.2256"
"   42   50.0   150.0   37.9168"
"   43   50.0   150.0   40.4352"
"   44   50.0   150.0   42.7424"
"   45   50.0   150.0   44.8"
"   46   50.0   150.0   46.5696"
"   47   50.0   150.0   48.0128"
"   48   50.0   150.0   49.0912"
"   49   50.0   150.0   49.7664"
"   50   50.0   150.0   50.0"
"   51   50.0   150.234   50.0"
"   52   50.0   150.909   50.0"
"   53   50.0   151.987   50.0"
"   54   50.0   153.43   50.0"
"   55   50.0   155.2   50.0"
"   56   50.0   157.258   50.0"
"   57   50.0   159.565   50.0"
"   58   50.0   162.083   50.0"
"   59   50.0   164.774   50.0"
"   60   50.0   167.6   50.0"
"   61   50.0   170.522   50.0"
"   62   50.0   173.501   50.0"
"   63   50.0   176.499   50.0"
"   64   50.0   179.478   50.0"
"   65   50.0   182.4   50.0"
"   66   50.0   185.226   50.0"
"   67   50.0   187.917   50.0"
"   68   50.0   190.435   50.0"
"   69   50.0   192.742   50.0"
"   70   50.0   194.8   50.0"
"   71   50.0   196.57   50.0"
"   72   50.0   198.013   50.0"
"   73   50.0   199.091   50.0"
"   74   50.0   199.766   50.0"
"   75   50.0   200.0   50.0"
"   76   50.0   200.0   50.0"
"   77   50.0   200.0   50.0"
"   78   50.0   200.0   50.0"
"   79   50.0   200.0   50.0"
"   80   50.0   200.0   50.0"
"   81   50.0   200.0   50.0"
"   82   50.0   200.0   50.0"
"   83   50.0   200.0   50.0"
"   84   50.0   200.0   50.0"
"   85   50.0   200.0   50.0"
"   86   50.0   200.0   50.0"
"   87   50.0   200.0   50.0"
"   88   50.0   200.0   50.0"
"   89   50.0   200.0   50.0"
"   90   50.0   200.0   50.0"
"   91   50.0   200.0   50.0"
"   92   50.0   200.0   50.0"
"   93   50.0   200.0   50.0"
"   94   50.0   200.0   50.0"
"   95   50.0   200.0   50.0"
"   96   50.0   200.0   50.0"
"   97   50.0   200.0   50.0"
"   98   50.0   200.0   50.0"
"   99   50.0   200.0   50.0"
"   100   50.0   200.0   50.0"
"

End of Keyframe Data"
