date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:08	4671/4671	---M--	200	added ('OK')	image/jpeg	etag:%2287424a-123f-3ef84689%22	www.rpmanager.com/images/siteTop_bg01-siteTop_about_.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_bg01-siteTop_about_.jpg	(from www.rpmanager.com/)
16:05:08	788/788	---M--	200	added ('OK')	image/jpeg	etag:%22874214-314-3ef846a3%22	www.rpmanager.com/images/siteTop_about.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_about.jpg	(from www.rpmanager.com/)
16:05:08	1413/1413	---M--	200	added ('OK')	image/jpeg	etag:%22874216-585-3ef846a5%22	www.rpmanager.com/images/siteTop_screenshot.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_screenshot.jpg	(from www.rpmanager.com/)
16:05:08	440/440	---M--	200	added ('OK')	image/jpeg	etag:%22874217-1b8-3ef84682%22	www.rpmanager.com/images/siteTopS_08.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_08.jpg	(from www.rpmanager.com/)
16:05:08	1208/1208	---M--	200	added ('OK')	image/jpeg	etag:%22874218-4b8-3ef84683%22	www.rpmanager.com/images/siteTop_downloads.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_downloads.jpg	(from www.rpmanager.com/)
16:05:09	11845/11845	---M--	200	added ('OK')	text/html	etag:%2280217-2e45-4105eb63%22	www.rpmanager.com/download.htm	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/download.htm	(from www.rpmanager.com/)
16:05:09	1137/1137	---M--	200	added ('OK')	image/jpeg	etag:%2287421a-471-3ef84698%22	www.rpmanager.com/images/siteTop_purchase.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_purchase.jpg	(from www.rpmanager.com/)
16:05:09	15399/15399	---M--	200	added ('OK')	text/html	etag:%2280219-3c27-412b4dbf%22	www.rpmanager.com/purchase.htm	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/purchase.htm	(from www.rpmanager.com/)
16:05:10	11902/11902	---M--	200	added ('OK')	text/html	etag:%2280212-2e7e-4124d393%22	www.rpmanager.com/tutorials.htm	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/tutorials.htm	(from www.rpmanager.com/)
16:05:10	381/381	---M--	200	added ('OK')	image/jpeg	etag:%2287421b-17d-3ef8469d%22	www.rpmanager.com/images/siteTopS_12.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_12.jpg	(from www.rpmanager.com/)
16:05:10	553/553	---M--	200	added ('OK')	image/jpeg	etag:%22874219-229-3ef84687%22	www.rpmanager.com/images/siteTopS_10.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_10.jpg	(from www.rpmanager.com/)
16:05:10	1231/1231	---M--	200	added ('OK')	image/jpeg	etag:%2287421c-4cf-3ef84697%22	www.rpmanager.com/images/siteTop_tutorials.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_tutorials.jpg	(from www.rpmanager.com/)
16:05:11	374/374	---M--	200	added ('OK')	image/jpeg	etag:%2287421d-176-3ef84683%22	www.rpmanager.com/images/siteTopS_14.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_14.jpg	(from www.rpmanager.com/)
16:05:11	19742/19742	---M--	200	added ('OK')	text/html	etag:%228021f-4d1e-40eadeec%22	www.rpmanager.com/freeTools.htm	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/freeTools.htm	(from www.rpmanager.com/)
16:05:11	1349/1349	---M--	200	added ('OK')	image/jpeg	etag:%2287424f-545-3ef84696%22	www.rpmanager.com/images/siteTopS_15.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_15.jpg	(from www.rpmanager.com/)
16:05:11	577/577	---M--	200	added ('OK')	image/jpeg	etag:%2287421f-241-3ef84683%22	www.rpmanager.com/images/siteTopS_16.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_16.jpg	(from www.rpmanager.com/)
16:05:11	775/775	---M--	200	added ('OK')	image/jpeg	etag:%2287421e-307-3ef8467e%22	www.rpmanager.com/images/siteTop_email.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_email.jpg	(from www.rpmanager.com/)
16:05:12	407/407	---M--	200	added ('OK')	image/jpeg	etag:%22874221-197-3ef8468e%22	www.rpmanager.com/images/siteTopS_18.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_18.jpg	(from www.rpmanager.com/)
16:05:12	348/348	---M--	200	added ('OK')	image/jpeg	etag:%22874223-15c-3ef8468e%22	www.rpmanager.com/images/siteTopS_20.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_20.jpg	(from www.rpmanager.com/)
16:05:12	347/347	---M--	200	added ('OK')	image/jpeg	etag:%22874222-15b-3ef8468e%22	www.rpmanager.com/images/siteTopS_19.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_19.jpg	(from www.rpmanager.com/)
16:05:12	441/441	---M--	200	added ('OK')	image/jpeg	etag:%22874225-1b9-3ef84693%22	www.rpmanager.com/images/siteTopS_22.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_22.jpg	(from www.rpmanager.com/)
16:05:12	426/426	---M--	200	added ('OK')	image/jpeg	etag:%22874224-1aa-3ef84691%22	www.rpmanager.com/images/siteTopS_21.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_21.jpg	(from www.rpmanager.com/)
16:05:13	381/381	---M--	200	added ('OK')	image/jpeg	etag:%2287424d-17d-3ef84693%22	www.rpmanager.com/images/siteTopS_24.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_24.jpg	(from www.rpmanager.com/)
16:05:13	699/699	---M--	200	added ('OK')	image/jpeg	etag:%2287424e-2bb-3ef84693%22	www.rpmanager.com/images/siteTopS_25.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_25.jpg	(from www.rpmanager.com/)
16:05:13	341/341	---M--	200	added ('OK')	image/jpeg	etag:%22874248-155-3ef84679%22	www.rpmanager.com/images/siteTopS_26.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_26.jpg	(from www.rpmanager.com/)
16:05:13	324/324	---M--	200	added ('OK')	image/jpeg	etag:%22874228-144-3eb89725%22	www.rpmanager.com/images/indexS_02.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/indexS_02.jpg	(from www.rpmanager.com/)
16:05:13	722/722	---M--	200	added ('OK')	image/jpeg	etag:%22874229-2d2-3eb8972a%22	www.rpmanager.com/images/indexS_03.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/indexS_03.jpg	(from www.rpmanager.com/)
16:05:14	10363/10363	---M--	200	added ('OK')	text/html	etag:%2280218-287b-40eadf02%22	www.rpmanager.com/support.htm	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/support.htm	(from www.rpmanager.com/)
16:05:14	1091/1091	---M--	200	added ('OK')	image/jpeg	etag:%2287422a-443-3eb8972f%22	www.rpmanager.com/images/indexS_04.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/indexS_04.jpg	(from www.rpmanager.com/)
16:05:15	2660/2660	---M--	200	added ('OK')	image/jpeg	etag:%2287422b-a64-40ead495%22	www.rpmanager.com/images/indexS_05.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/indexS_05.jpg	(from www.rpmanager.com/)
16:05:15	477/477	---M--	200	added ('OK')	image/jpeg	etag:%22874226-1dd-3ef84690%22	www.rpmanager.com/images/siteTopS_23.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTopS_23.jpg	(from www.rpmanager.com/)
16:05:15	26902/26902	---M--	200	added ('OK')	image/jpeg	etag:%22874227-6916-3eb89720%22	www.rpmanager.com/images/indexS_01.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/indexS_01.jpg	(from www.rpmanager.com/)
16:05:15	11601/11601	---M--	200	added ('OK')	text/html	etag:%2280222-2d51-40ed4ad7%22	www.rpmanager.com/links.htm	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/links.htm	(from www.rpmanager.com/)
16:05:15	1061/1061	---M--	200	added ('OK')	image/jpeg	etag:%2287422e-425-3eb89c31%22	www.rpmanager.com/images/siteMiddleShortS_04-over.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_04-over.jpg	(from www.rpmanager.com/news.htm)
16:05:16	1778/1778	---M--	200	added ('OK')	image/jpeg	etag:%22874207-6f2-40d58641%22	www.rpmanager.com/images/bullet.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/bullet.jpg	(from www.rpmanager.com/styles.css)
16:05:16	811/811	---M--	200	added ('OK')	image/jpeg	etag:%2287422f-32b-3eb89c36%22	www.rpmanager.com/images/siteMiddleShortS_07-over.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_07-over.jpg	(from www.rpmanager.com/news.htm)
16:05:16	1397/1397	---M--	200	added ('OK')	image/jpeg	etag:%22874252-575-40ead497%22	www.rpmanager.com/images/siteMiddleShortS_05-black.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_05-black.jpg	(from www.rpmanager.com/news.htm)
16:05:16	1606/1606	---M--	200	added ('OK')	image/jpeg	etag:%2287422d-646-3eb89bc9%22	www.rpmanager.com/images/bj.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/bj.jpg	(from www.rpmanager.com/news.htm)
16:05:16	611/611	---M--	200	added ('OK')	image/jpeg	etag:%2287423b-263-3eb89e21%22	www.rpmanager.com/images/siteTop_news-black.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteTop_news-black.jpg	(from www.rpmanager.com/news.htm)
16:05:16	373/373	---M--	200	added ('OK')	image/jpeg	etag:%22874232-175-3eb89c61%22	www.rpmanager.com/images/siteMiddleShortS_02.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_02.jpg	(from www.rpmanager.com/news.htm)
16:05:17	700/700	---M--	200	added ('OK')	image/jpeg	etag:%22874233-2bc-3eb89c65%22	www.rpmanager.com/images/siteMiddleShortS_03.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_03.jpg	(from www.rpmanager.com/news.htm)
16:05:17	24788/24788	---M--	200	added ('OK')	image/jpeg	etag:%2287422c-60d4-4105eb82%22	www.rpmanager.com/images/siteBottom.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteBottom.jpg	(from www.rpmanager.com/)
16:05:17	1105/1105	---M--	200	added ('OK')	image/jpeg	etag:%22874234-451-3eb89c6a%22	www.rpmanager.com/images/siteMiddleShortS_04.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_04.jpg	(from www.rpmanager.com/news.htm)
16:05:17	1470/1470	---M--	200	added ('OK')	image/jpeg	etag:%22874235-5be-40ead498%22	www.rpmanager.com/images/siteMiddleShortS_05.jpg	E:/03_Scripting/maxScript/max%205/3ds%20to%20ae/rpmanager/rpmanager/www.rpmanager.com/images/siteMiddleShortS_05.jpg	(from www.rpmanager.com/news.htm)
